case_id,comparison_track_id,comparison_track_label,pair_count,pygnome_weathering_enabled,relative_similarity_rank,mean_kl,min_kl,max_kl,notes,mean_fss_1km,min_fss_1km,max_fss_1km,mean_fss_3km,min_fss_3km,max_fss_3km,mean_fss_5km,min_fss_5km,max_fss_5km,mean_fss_10km,min_fss_10km,max_fss_10km,fss_5km_24h,kl_24h,fss_5km_48h,kl_48h,fss_5km_72h,kl_72h
CASE_2016-09-06,deterministic,OpenDrift deterministic,3,False,1,22.833256835719236,22.598257701919884,23.020741030615504,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.22222222222222213,0.1025641025641025,0.4615384615384614,0.43478260869565216,0.3478260869565218,0.6086956521739131,0.6111111111111112,0.5625,0.7083333333333333,0.6086956521739131,23.020741030615504,0.3478260869565218,22.88077177462232,0.3478260869565218,22.598257701919884
CASE_2016-09-17,deterministic,OpenDrift deterministic,3,False,2,22.41831038822141,22.347235713915204,22.516645574445334,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.17094017094017092,0.0,0.5128205128205128,0.28985507246376807,0.0,0.6260869565217391,0.5069444444444445,0.3125000000000001,0.7125000000000001,0.6260869565217391,22.347235713915204,0.2434782608695652,22.39104987630369,0.0,22.516645574445334
CASE_2016-09-01,deterministic,OpenDrift deterministic,3,False,3,22.41831038822141,22.34723571391521,22.516645574445334,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.03418803418803417,0.0,0.1025641025641025,0.11594202898550726,0.0,0.3478260869565218,0.301388888888889,0.1166666666666667,0.5625000000000001,0.3478260869565218,22.34723571391521,0.0,22.391049876303683,0.0,22.516645574445334
CASE_2016-09-17,ensemble_p50,OpenDrift p50 threshold,3,False,1,7.529879541675734,0.0584034457352398,22.347235713915204,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.17094017094017092,0.0,0.5128205128205128,0.20869565217391303,0.0,0.6260869565217391,0.23750000000000004,0.0,0.7125000000000001,0.6260869565217391,22.347235713915204,0.0,0.0584034457352398,0.0,0.1839994653767589
CASE_2016-09-01,ensemble_p50,OpenDrift p50 threshold,3,False,2,7.5298795416757365,0.0584034457352398,22.34723571391521,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.03418803418803417,0.0,0.1025641025641025,0.11594202898550726,0.0,0.3478260869565218,0.18750000000000003,0.0,0.5625000000000001,0.3478260869565218,22.34723571391521,0.0,0.0584034457352398,0.0,0.1839994653767589
CASE_2016-09-06,ensemble_p50,OpenDrift p50 threshold,3,False,3,0.5006115371121616,0.2656118017620267,0.6880962119304719,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6880962119304719,0.0,0.5481265976439859,0.0,0.2656118017620267
CASE_2016-09-01,ensemble_p90,OpenDrift p90 threshold,3,False,1,0.08566402743442252,0.0145891711912688,0.1839994653767589,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145891711912688,0.0,0.0584034457352398,0.0,0.1839994653767589
CASE_2016-09-17,ensemble_p90,OpenDrift p90 threshold,3,False,2,0.08566402743442252,0.0145891711912688,0.1839994653767589,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145891711912688,0.0,0.0584034457352398,0.0,0.1839994653767589
CASE_2016-09-06,ensemble_p90,OpenDrift p90 threshold,3,False,3,0.5006115371121616,0.2656118017620267,0.6880962119304719,Comparator-only prototype transport benchmark. PyGNOME is not treated as truth.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6880962119304719,0.0,0.5481265976439859,0.0,0.2656118017620267
