case_id,benchmark_dir,summary_csv,fss_csv,kl_csv,pairing_manifest_csv,pygnome_metadata_json,snapshot_hours,fss_windows_km,comparison_track_ids,case_crop_bounds,display_bounds_wgs84,rendering_profile,map_projection,projection_center_lon,projection_center_lat,pygnome_weathering_enabled,pygnome_role,benchmark_particles,notes
CASE_2016-09-01,output/CASE_2016-09-01/benchmark,output/CASE_2016-09-01/benchmark/phase3a_summary.csv,output/CASE_2016-09-01/benchmark/phase3a_fss_by_time_window.csv,output/CASE_2016-09-01/benchmark/phase3a_kl_by_time.csv,output/CASE_2016-09-01/benchmark/phase3a_pairing_manifest.csv,output/CASE_2016-09-01/benchmark/pygnome/pygnome_benchmark_metadata.json,24;48;72,1;3;5;10,deterministic;ensemble_p50;ensemble_p90,"116.8550,117.5050,10.0918,10.7417","116.8550,117.5050,10.0918,10.7417",prototype_2016_case_local_projected_v1,local_azimuthal_equidistant,117.18,10.41675,False,comparator_only,5000,Legacy prototype Phase 3A transport benchmark. OpenDrift deterministic plus legacy support-only p50/p90 threshold tracks are compared against deterministic PyGNOME.
CASE_2016-09-06,output/CASE_2016-09-06/benchmark,output/CASE_2016-09-06/benchmark/phase3a_summary.csv,output/CASE_2016-09-06/benchmark/phase3a_fss_by_time_window.csv,output/CASE_2016-09-06/benchmark/phase3a_kl_by_time.csv,output/CASE_2016-09-06/benchmark/phase3a_pairing_manifest.csv,output/CASE_2016-09-06/benchmark/pygnome/pygnome_benchmark_metadata.json,24;48;72,1;3;5;10,deterministic;ensemble_p50;ensemble_p90,"117.0990,117.7490,9.9470,10.5970","117.0990,117.7490,9.9470,10.5970",prototype_2016_case_local_projected_v1,local_azimuthal_equidistant,117.424,10.272,False,comparator_only,5000,Legacy prototype Phase 3A transport benchmark. OpenDrift deterministic plus legacy support-only p50/p90 threshold tracks are compared against deterministic PyGNOME.
CASE_2016-09-17,output/CASE_2016-09-17/benchmark,output/CASE_2016-09-17/benchmark/phase3a_summary.csv,output/CASE_2016-09-17/benchmark/phase3a_fss_by_time_window.csv,output/CASE_2016-09-17/benchmark/phase3a_kl_by_time.csv,output/CASE_2016-09-17/benchmark/phase3a_pairing_manifest.csv,output/CASE_2016-09-17/benchmark/pygnome/pygnome_benchmark_metadata.json,24;48;72,1;3;5;10,deterministic;ensemble_p50;ensemble_p90,"112.2465,112.9130,15.9730,16.6230","112.2465,112.9130,15.9730,16.6230",prototype_2016_case_local_projected_v1,local_azimuthal_equidistant,112.57974999999999,16.298,False,comparator_only,5000,Legacy prototype Phase 3A transport benchmark. OpenDrift deterministic plus legacy support-only p50/p90 threshold tracks are compared against deterministic PyGNOME.
