hours_elapsed,surface_pct,beached_pct,evaporated_pct,dispersed_pct
0,100.0,0.0,0.0,0.0
1,76.49,0.0,23.51,0.0
2,57.88,0.0,41.68,0.44
3,53.93,0.0,45.16,0.91
4,51.87,0.0,46.77,1.36
5,50.47,0.0,47.65,1.89
6,49.17,0.0,48.08,2.75
7,48.01,0.0,48.25,3.74
8,47.16,0.0,48.45,4.39
9,46.39,0.0,48.67,4.95
10,45.45,0.0,48.76,5.79
11,44.67,0.0,48.86,6.47
12,44.06,0.0,49.02,6.91
13,43.45,0.0,49.18,7.36
14,42.73,0.0,49.23,8.04
15,41.63,0.0,48.86,9.51
16,39.79,0.0,47.51,12.7
17,37.2,0.0,45.12,17.68
18,33.57,0.0,41.29,25.14
19,29.23,0.0,36.4,34.37
20,23.87,0.0,30.05,46.08
21,18.74,0.0,23.81,57.46
22,14.61,0.0,18.7,66.69
23,11.3,0.0,14.55,74.15
24,7.31,0.0,9.47,83.22
25,2.31,0.0,3.01,94.68
26,0.0,0.0,0.0,100.0
27,0.0,0.0,0.0,100.0
28,0.0,0.0,0.0,100.0
29,0.0,0.0,0.0,100.0
30,0.0,0.0,0.0,100.0
31,0.0,0.0,0.0,100.0
32,0.0,0.0,0.0,100.0
33,0.0,0.0,0.0,100.0
34,0.0,0.0,0.0,100.0
35,0.0,0.0,0.0,100.0
36,0.0,0.0,0.0,100.0
37,0.0,0.0,0.0,100.0
38,0.0,0.0,0.0,100.0
39,0.0,0.0,0.0,100.0
40,0.0,0.0,0.0,100.0
41,0.0,0.0,0.0,100.0
42,0.0,0.0,0.0,100.0
43,0.0,0.0,0.0,100.0
44,0.0,0.0,0.0,100.0
45,0.0,0.0,0.0,100.0
46,0.0,0.0,0.0,100.0
47,0.0,0.0,0.0,100.0
48,0.0,0.0,0.0,100.0
49,0.0,0.0,0.0,100.0
50,0.0,0.0,0.0,100.0
51,0.0,0.0,0.0,100.0
52,0.0,0.0,0.0,100.0
53,0.0,0.0,0.0,100.0
54,0.0,0.0,0.0,100.0
55,0.0,0.0,0.0,100.0
56,0.0,0.0,0.0,100.0
57,0.0,0.0,0.0,100.0
58,0.0,0.0,0.0,100.0
59,0.0,0.0,0.0,100.0
60,0.0,0.0,0.0,100.0
61,0.0,0.0,0.0,100.0
62,0.0,0.0,0.0,100.0
63,0.0,0.0,0.0,100.0
64,0.0,0.0,0.0,100.0
65,0.0,0.0,0.0,100.0
66,0.0,0.0,0.0,100.0
67,0.0,0.0,0.0,100.0
68,0.0,0.0,0.0,100.0
69,0.0,0.0,0.0,100.0
70,0.0,0.0,0.0,100.0
71,0.0,0.0,0.0,100.0
72,0.0,0.0,0.0,100.0
