hours_elapsed,surface_pct,beached_pct,evaporated_pct,dispersed_pct
0,100.0,0.0,0.0,0.0
1,74.54,0.0,25.41,0.04
2,57.07,0.0,41.33,1.6
3,52.79,0.0,44.26,2.94
4,50.3,0.0,45.44,4.25
5,48.35,0.0,45.75,5.9
6,46.76,0.0,45.67,7.56
7,45.65,0.0,45.68,8.66
8,44.74,0.0,45.77,9.49
9,44.14,0.0,45.98,9.88
10,43.6,0.0,46.24,10.16
11,43.04,0.0,46.5,10.46
12,42.52,0.0,46.75,10.73
13,41.92,0.0,46.95,11.13
14,41.54,0.0,47.14,11.32
15,41.26,0.0,47.34,11.4
16,40.86,0.0,47.63,11.51
17,40.5,0.0,47.88,11.61
18,39.96,0.0,48.09,11.95
19,39.44,0.0,48.09,12.46
20,38.86,0.0,47.92,13.22
21,38.23,0.0,47.61,14.16
22,37.44,0.0,47.07,15.5
23,36.39,0.0,46.16,17.45
24,35.58,0.0,45.46,18.96
25,34.99,0.0,45.0,20.01
26,34.49,0.0,44.63,20.88
27,34.17,0.0,44.44,21.39
28,33.95,0.0,44.38,21.67
29,33.63,0.0,44.2,22.17
30,33.12,0.0,43.79,23.09
31,32.46,0.0,43.15,24.38
32,31.96,0.0,42.67,25.37
33,31.56,0.0,42.32,26.13
34,31.25,0.0,42.08,26.66
35,31.11,0.0,42.03,26.87
36,30.99,0.0,42.01,27.0
37,30.82,0.0,41.96,27.22
38,30.63,0.0,41.87,27.51
39,30.46,0.0,41.8,27.74
40,30.31,0.0,41.74,27.95
41,30.16,0.0,41.69,28.15
42,30.0,0.0,41.63,28.37
43,29.92,0.0,41.64,28.45
44,29.82,0.0,41.66,28.53
45,29.66,0.0,41.63,28.71
46,29.55,0.0,41.62,28.83
47,29.42,0.0,41.59,28.98
48,29.11,0.0,41.35,29.54
49,28.64,0.0,40.87,30.49
50,27.99,0.0,40.11,31.9
51,26.94,0.0,38.77,34.29
52,25.67,0.0,37.1,37.22
53,24.72,0.0,35.87,39.41
54,23.63,0.0,34.42,41.95
55,22.27,0.0,32.56,45.17
56,20.71,0.0,30.4,48.89
57,18.76,0.0,27.65,53.59
58,16.65,0.0,24.64,58.72
59,14.18,0.0,21.06,64.77
60,12.16,0.0,18.13,69.7
61,10.43,0.0,15.59,73.98
62,8.69,0.0,13.04,78.27
63,7.4,0.0,11.13,81.47
64,6.28,0.0,9.47,84.25
65,5.38,0.0,8.14,86.47
66,5.06,0.0,7.67,87.27
67,4.93,0.0,7.49,87.58
68,4.87,0.0,7.41,87.71
69,4.83,0.0,7.36,87.81
70,4.73,0.0,7.22,88.05
71,4.24,0.0,6.48,89.28
72,4.05,0.0,6.21,89.74
